Time	TrueRisk	treatment
1	0.00294113447476319	0
2	0.00481376929211974	0
3	0.00645052252117373	0
4	0.00786642276665517	0
5	0.00941354739230293	0
6	0.0109519411488131	0
1	0.0205452903162188	1
2	0.0340922967363048	1
3	0.0434168384091804	1
4	0.0508473399090247	1
5	0.0587478063646139	1
6	0.0667857707664399	1
